Plate,Time,Temperature,Row,Column,Luminescence
# Luminescence of evolved V. harveyi
# Eric Bruger - 2012/06/27

Plate1,10:15:00,30.0,4,8,546.088
Plate1,10:15:00,30.0,4,9,345.92
Plate1,10:15:00,30.0,4,10,909.499
Plate1,10:15:00,30.0,4,11,748.199
Plate1,10:15:00,30.0,5,0,2833.438
Plate1,10:15:00,30.0,5,1,497307.281
Plate1,10:15:00,30.0,5,2,794907.688
Plate1,10:15:00,30.0,5,3,4395.91
Plate1,10:15:00,30.0,5,4,678954.375
Plate1,10:15:00,30.0,5,5,751346.937
Plate1,10:15:00,30.0,5,6,2116.333
Plate1,10:15:00,30.0,5,7,956.14
Plate1,10:15:00,30.0,5,8,606.332
Plate1,10:15:00,30.0,5,9,340.09
Plate1,10:15:00,30.0,5,10,305.11
Plate1,10:15:00,30.0,5,11,357.581
Plate1,10:15:00,30.0,6,0,2720.722
Plate1,10:15:00,30.0,6,1,492159.25
Plate1,10:15:00,30.0,6,2,828224.875
Plate1,10:15:00,30.0,6,3,4250.157
Plate1,10:15:00,30.0,6,4,689913.062
Plate1,10:15:00,30.0,6,5,722962.125
Plate1,10:15:00,30.0,6,6,2069.692
Plate1,10:15:00,30.0,6,7,977.517
Plate1,10:15:00,30.0,6,8,732.652
Plate1,10:15:00,30.0,6,9,408.108
Plate1,10:15:00,30.0,6,10,254.582
Plate1,10:15:00,30.0,6,11,312.883
Plate1,10:15:00,30.0,7,0,1201.005
Plate1,10:15:00,30.0,7,1,1844.261
Plate1,10:15:00,30.0,7,2,1991.958
Plate1,10:15:00,30.0,7,3,1537.208
Plate1,10:15:00,30.0,7,4,1997.788
Plate1,10:15:00,30.0,7,5,1733.489
Plate1,10:15:00,30.0,7,6,973.63
Plate1,10:15:00,30.0,7,7,680.181
Plate1,10:15:00,30.0,7,8,404.222
Plate1,10:15:00,30.0,7,9,305.11
Plate1,10:15:00,30.0,7,10,163.243
Plate1,10:15:00,30.0,7,11,159.357
Plate1,10:30:00,30.0,0,0,2809.065
Plate1,10:30:00,30.0,0,1,1722.062
Plate1,10:30:00,30.0,0,2,1338.299
Plate1,10:30:00,30.0,0,3,1817.516
Plate1,10:30:00,30.0,0,4,1077.263
Plate1,10:30:00,30.0,0,5,590.254
Plate1,10:30:00,30.0,0,6,416.879
Plate1,10:30:00,30.0,0,7,294.153
Plate1,10:30:00,30.0,0,8,237.66
Plate1,10:30:00,30.0,0,9,167.531
Plate1,10:30:00,30.0,0,10,151.947
Plate1,10:30:00,30.0,0,11,85.713
Plate1,10:30:00,30.0,1,0,1077710.75
Plate1,10:30:00,30.0,1,1,3642.823
Plate1,10:30:00,30.0,1,2,3218.152
Plate1,10:30:00,30.0,1,3,669979.563
Plate1,10:30:00,30.0,1,4,2415.562
Plate1,10:30:00,30.0,1,5,983.757
Plate1,10:30:00,30.0,1,6,773.369
Plate1,10:30:00,30.0,1,7,414.931
Plate1,10:30:00,30.0,1,8,374.023
Plate1,10:30:00,30.0,1,9,288.309
Plate1,10:30:00,30.0,1,10,206.492
Plate1,10:30:00,30.0,1,11,157.791
Plate1,10:30:00,30.0,2,0,1004930.312
Plate1,10:30:00,30.0,2,1,4712.294
Plate1,10:30:00,30.0,2,2,4192.169
Plate1,10:30:00,30.0,2,3,637817.5
Plate1,10:30:00,30.0,2,4,3161.659
Plate1,10:30:00,30.0,2,5,1640.245
Plate1,10:30:00,30.0,2,6,1336.351
Plate1,10:30:00,30.0,2,7,859.083
Plate1,10:30:00,30.0,2,8,592.202
Plate1,10:30:00,30.0,2,9,358.438
Plate1,10:30:00,30.0,2,10,208.44
Plate1,10:30:00,30.0,2,11,179.219
Plate1,10:30:00,30.0,3,0,978199.375
Plate1,10:30:00,30.0,3,1,4503.854
Plate1,10:30:00,30.0,3,2,4429.829
Plate1,10:30:00,30.0,3,3,659179.688
Plate1,10:30:00,30.0,3,4,3720.745
Plate1,10:30:00,30.0,3,5,2462.315
Plate1,10:30:00,30.0,3,6,1823.36
Plate1,10:30:00,30.0,3,7,974.017
Plate1,10:30:00,30.0,3,8,658.435
Plate1,10:30:00,30.0,3,9,426.619
Plate1,10:30:00,30.0,3,10,261.037
Plate1,10:30:00,30.0,3,11,140.258
Plate1,10:30:00,30.0,4,0,4040.222
Plate1,10:30:00,30.0,4,1,485611.781
Plate1,10:30:00,30.0,4,2,749804.125
Plate1,10:30:00,30.0,4,3,4944.11
Plate1,10:30:00,30.0,4,4,630399.375
Plate1,10:30:00,30.0,4,5,698847.438
Plate1,10:30:00,30.0,4,6,1807.776
Plate1,10:30:00,30.0,4,7,1001.289
Plate1,10:30:00,30.0,4,8,561.034
Plate1,10:30:00,30.0,4,9,383.763
Plate1,10:30:00,30.0,4,10,779.214
Plate1,10:30:00,30.0,4,11,654.539
Plate1,10:30:00,30.0,5,0,2742.832
Plate1,10:30:00,30.0,5,1,489285.719
Plate1,10:30:00,30.0,5,2,775857.125
Plate1,10:30:00,30.0,5,3,4423.985
Plate1,10:30:00,30.0,5,4,664466.563
Plate1,10:30:00,30.0,5,5,731603.625
Plate1,10:30:00,30.0,5,6,2285.044
Plate1,10:30:00,30.0,5,7,903.888
Plate1,10:30:00,30.0,5,8,621.423
Plate1,10:30:00,30.0,5,9,360.386
Plate1,10:30:00,30.0,5,10,342.854
Plate1,10:30:00,30.0,5,11,288.309
Plate1,10:30:00,30.0,6,0,2655.17
Plate1,10:30:00,30.0,6,1,470549.562
Plate1,10:30:00,30.0,6,2,811301.562
Plate1,10:30:00,30.0,6,3,4246.714
Plate1,10:30:00,30.0,6,4,681430.062
Plate1,10:30:00,30.0,6,5,710568.688
Plate1,10:30:00,30.0,6,6,2024.007
Plate1,10:30:00,30.0,6,7,1030.51
Plate1,10:30:00,30.0,6,8,611.683
Plate1,10:30:00,30.0,6,9,372.074
Plate1,10:30:00,30.0,6,10,276.621
Plate1,10:30:00,30.0,6,11,325.322
Plate1,10:30:00,30.0,7,0,1102.587
Plate1,10:30:00,30.0,7,1,1761.023
Plate1,10:30:00,30.0,7,2,1875.957
Plate1,10:30:00,30.0,7,3,1388.948
Plate1,10:30:00,30.0,7,4,1813.62
Plate1,10:30:00,30.0,7,5,1708.426
Plate1,10:30:00,30.0,7,6,948.693
Plate1,10:30:00,30.0,7,7,635.059
Plate1,10:30:00,30.0,7,8,377.919
Plate1,10:30:00,30.0,7,9,262.985
Plate1,10:30:00,30.0,7,10,171.427
Plate1,10:30:00,30.0,7,11,114.934
Plate1,10:45:00,30.0,0,0,2737.13
Plate1,10:45:00,30.0,0,1,1673.979
Plate1,10:45:00,30.0,0,2,1227.456
Plate1,10:45:00,30.0,0,3,1726.17
Plate1,10:45:00,30.0,0,4,1094.079
Plate1,10:45:00,30.0,0,5,518.044
Plate1,10:45:00,30.0,0,6,367.27
Plate1,10:45:00,30.0,0,7,278.352
Plate1,10:45:00,30.0,0,8,214.563
Plate1,10:45:00,30.0,0,9,170.104
Plate1,10:45:00,30.0,0,10,144.975
Plate1,10:45:00,30.0,0,11,102.449
Plate1,10:45:00,30.0,1,0,1059031.5
Plate1,10:45:00,30.0,1,1,3548.99
Plate1,10:45:00,30.0,1,2,3030.946
Plate1,10:45:00,30.0,1,3,658318.375
Plate1,10:45:00,30.0,1,4,2323.468
Plate1,10:45:00,30.0,1,5,978.099
Plate1,10:45:00,30.0,1,6,813.794
Plate1,10:45:00,30.0,1,7,461.987
Plate1,10:45:00,30.0,1,8,318.945
Plate1,10:45:00,30.0,1,9,195.233
Plate1,10:45:00,30.0,1,10,195.233
Plate1,10:45:00,30.0,1,11,141.109
Plate1,10:45:00,30.0,2,0,986955.75
Plate1,10:45:00,30.0,2,1,4592.811
Plate1,10:45:00,30.0,2,2,4101.829
Plate1,10:45:00,30.0,2,3,621999.25
Plate1,10:45:00,30.0,2,4,3146.926
Plate1,10:45:00,30.0,2,5,1602.458
Plate1,10:45:00,30.0,2,6,1240.987
Plate1,10:45:00,30.0,2,7,850.521
Plate1,10:45:00,30.0,2,8,545.106
Plate1,10:45:00,30.0,2,9,388.533
Plate1,10:45:00,30.0,2,10,210.697
Plate1,10:45:00,30.0,2,11,129.511
Plate1,10:45:00,30.0,3,0,959162.938
Plate1,10:45:00,30.0,3,1,4260.335
Plate1,10:45:00,30.0,3,2,4068.968
Plate1,10:45:00,30.0,3,3,644891.813
Plate1,10:45:00,30.0,3,4,3767.419
Plate1,10:45:00,30.0,3,5,2425.917
