Update,NOT,NAND,AND,EPS,OR,ANDN,NOR,XOR,EQU
# Reaction counts - Low resource environment
# Brian Connelly - 2011/12/15

15700.0,188.0,7.0,46.0,65.0,1219.0,1909.0,4182.0,0.0,0.0
15800.0,199.0,8.0,54.0,51.0,1484.0,1625.0,4119.0,0.0,0.0
15900.0,203.0,4.0,36.0,26.0,1611.0,1605.0,4212.0,0.0,0.0
16000.0,198.0,4.0,39.0,39.0,1747.0,1486.0,4237.0,0.0,0.0
16100.0,188.0,14.0,35.0,35.0,1686.0,1520.0,4152.0,0.0,0.0
16200.0,203.0,13.0,30.0,36.0,1852.0,1361.0,4079.0,0.0,0.0
16300.0,197.0,8.0,41.0,43.0,1792.0,1362.0,4109.0,0.0,0.0
16400.0,187.0,6.0,57.0,56.0,1932.0,1407.0,4279.0,0.0,0.0
16500.0,181.0,6.0,38.0,29.0,2022.0,1341.0,4322.0,0.0,0.0
16600.0,156.0,5.0,32.0,59.0,1740.0,1479.0,4218.0,0.0,0.0
16700.0,181.0,8.0,35.0,76.0,1862.0,1304.0,4184.0,0.0,1.0
16800.0,169.0,6.0,30.0,73.0,1749.0,1301.0,4102.0,0.0,0.0
16900.0,213.0,9.0,44.0,52.0,2068.0,1039.0,4217.0,1.0,0.0
17000.0,198.0,9.0,38.0,61.0,1828.0,1118.0,3976.0,0.0,0.0
17100.0,170.0,6.0,31.0,50.0,2084.0,1155.0,4223.0,0.0,0.0
17200.0,166.0,4.0,24.0,51.0,2181.0,1045.0,4129.0,0.0,0.0
17300.0,162.0,0.0,29.0,33.0,2219.0,966.0,4067.0,0.0,0.0
17400.0,173.0,6.0,33.0,40.0,2201.0,962.0,4127.0,0.0,0.0
17500.0,154.0,9.0,23.0,61.0,2375.0,939.0,4215.0,0.0,0.0
17600.0,193.0,11.0,37.0,54.0,2229.0,1143.0,4332.0,0.0,0.0
17700.0,154.0,3.0,32.0,51.0,2164.0,941.0,4028.0,0.0,0.0
17800.0,173.0,5.0,26.0,63.0,2321.0,947.0,4225.0,0.0,0.0
17900.0,209.0,7.0,39.0,46.0,2194.0,1018.0,4169.0,0.0,0.0
18000.0,180.0,3.0,31.0,20.0,2350.0,1018.0,4342.0,0.0,0.0
18100.0,150.0,1.0,29.0,26.0,2350.0,1011.0,4343.0,0.0,0.0
18200.0,193.0,0.0,17.0,33.0,2369.0,864.0,4234.0,0.0,0.0
18300.0,155.0,2.0,25.0,35.0,2310.0,925.0,4209.0,0.0,0.0
18400.0,147.0,1.0,31.0,26.0,2291.0,901.0,4182.0,0.0,0.0
18500.0,142.0,3.0,25.0,32.0,2332.0,861.0,4082.0,0.0,0.0
18600.0,186.0,5.0,22.0,31.0,2540.0,712.0,4129.0,0.0,0.0
18700.0,172.0,8.0,25.0,26.0,2369.0,712.0,3950.0,0.0,0.0
18800.0,167.0,7.0,34.0,24.0,2319.0,814.0,3974.0,0.0,0.0
18900.0,138.0,1.0,26.0,28.0,2401.0,838.0,4130.0,0.0,0.0
19000.0,156.0,1.0,37.0,43.0,2213.0,877.0,4066.0,0.0,0.0
19100.0,157.0,0.0,36.0,30.0,2373.0,815.0,4033.0,0.0,0.0
19200.0,193.0,5.0,30.0,33.0,2520.0,813.0,4206.0,0.0,0.0
19300.0,174.0,4.0,24.0,22.0,2575.0,717.0,4194.0,0.0,0.0
19400.0,194.0,2.0,12.0,45.0,2464.0,829.0,4176.0,0.0,0.0
19500.0,182.0,4.0,22.0,22.0,2389.0,806.0,4022.0,0.0,0.0
19600.0,186.0,3.0,21.0,41.0,2390.0,796.0,4085.0,0.0,0.0
19700.0,158.0,5.0,32.0,26.0,2251.0,793.0,3911.0,0.0,0.0
19800.0,188.0,8.0,32.0,29.0,2290.0,816.0,3900.0,0.0,0.0
19900.0,200.0,7.0,22.0,22.0,2419.0,859.0,4178.0,0.0,0.0
20000.0,167.0,8.0,21.0,24.0,2434.0,613.0,3919.0,0.0,0.0
20100.0,178.0,8.0,33.0,37.0,2270.0,778.0,3817.0,0.0,0.0
20200.0,148.0,6.0,30.0,21.0,2299.0,687.0,3858.0,0.0,0.0
20300.0,174.0,3.0,27.0,17.0,2496.0,742.0,4129.0,0.0,0.0
20400.0,188.0,1.0,21.0,21.0,2413.0,768.0,4062.0,0.0,0.0
20500.0,176.0,3.0,20.0,20.0,2305.0,812.0,3965.0,0.0,0.0
20600.0,203.0,2.0,38.0,33.0,2552.0,701.0,4086.0,0.0,0.0
20700.0,163.0,5.0,36.0,21.0,2252.0,798.0,4036.0,0.0,0.0
20800.0,202.0,3.0,40.0,31.0,2388.0,747.0,4059.0,0.0,0.0
20900.0,153.0,7.0,39.0,20.0,2431.0,728.0,4168.0,0.0,0.0
21000.0,170.0,5.0,45.0,35.0,2044.0,730.0,4125.0,0.0,0.0
21100.0,204.0,5.0,52.0,28.0,2327.0,695.0,4326.0,0.0,0.0
21200.0,178.0,7.0,53.0,37.0,2579.0,576.0,4224.0,0.0,0.0
21300.0,172.0,3.0,30.0,38.0,2680.0,469.0,4207.0,0.0,0.0
21400.0,151.0,1.0,22.0,33.0,2783.0,583.0,4286.0,0.0,0.0
21500.0,185.0,4.0,28.0,27.0,2776.0,533.0,4196.0,0.0,0.0
21600.0,173.0,3.0,28.0,28.0,2509.0,643.0,4039.0,0.0,0.0
21700.0,172.0,3.0,38.0,25.0,2549.0,548.0,3979.0,0.0,0.0
21800.0,174.0,2.0,32.0,23.0,2531.0,618.0,4098.0,0.0,0.0
21900.0,159.0,5.0,25.0,23.0,2437.0,783.0,4236.0,0.0,0.0
22000.0,145.0,2.0,37.0,25.0,2766.0,505.0,4139.0,0.0,0.0
22100.0,143.0,7.0,39.0,16.0,2627.0,649.0,4285.0,0.0,0.0
22200.0,208.0,4.0,41.0,33.0,2571.0,643.0,4245.0,0.0,0.0
22300.0,222.0,6.0,24.0,36.0,2254.0,600.0,4101.0,0.0,0.0
22400.0,197.0,11.0,55.0,48.0,2261.0,652.0,4203.0,0.0,0.0
22500.0,216.0,17.0,46.0,34.0,2247.0,675.0,3987.0,0.0,0.0
22600.0,198.0,5.0,30.0,35.0,2254.0,718.0,4145.0,0.0,0.0
22700.0,193.0,9.0,25.0,24.0,2390.0,850.0,4191.0,0.0,0.0
22800.0,175.0,10.0,32.0,53.0,2415.0,809.0,4075.0,0.0,0.0
22900.0,178.0,9.0,30.0,31.0,2417.0,787.0,4033.0,0.0,0.0
23000.0,148.0,2.0,23.0,59.0,2418.0,703.0,4018.0,0.0,0.0
23100.0,137.0,9.0,21.0,48.0,2389.0,837.0,4083.0,0.0,0.0
23200.0,167.0,2.0,27.0,33.0,2324.0,794.0,4003.0,0.0,0.0
23300.0,154.0,5.0,25.0,29.0,2348.0,861.0,4168.0,0.0,0.0
23400.0,181.0,11.0,19.0,37.0,2404.0,814.0,4080.0,0.0,0.0
23500.0,175.0,5.0,20.0,35.0,2547.0,804.0,4199.0,0.0,0.0
23600.0,200.0,9.0,20.0,43.0,2276.0,752.0,3980.0,0.0,0.0
23700.0,173.0,6.0,26.0,29.0,2489.0,667.0,4135.0,0.0,0.0
23800.0,197.0,4.0,32.0,21.0,2332.0,752.0,3938.0,0.0,0.0
23900.0,178.0,5.0,20.0,35.0,2371.0,731.0,4022.0,0.0,0.0
24000.0,213.0,4.0,29.0,31.0,2233.0,876.0,3983.0,0.0,0.0
24100.0,188.0,14.0,32.0,24.0,2280.0,764.0,3970.0,0.0,0.0
24200.0,186.0,7.0,29.0,20.0,2566.0,680.0,4104.0,0.0,0.0
24300.0,172.0,9.0,23.0,36.0,2484.0,670.0,4036.0,0.0,0.0
